State,Agency type,Agency name,Race,Religion,Sexual orientation,Ethnicity,Disability,Gender,Gender Identity,1st quarter,2nd quarter,3rd quarter,4th quarter,Population
Colorado,Universities and Colleges,"Colorado State University, Fort Collins",1,0,0,0,0,0,0,0,0,0,1,"30,659"
California,Cities,Colton,1,0,0,0,0,0,0,0,0,0,1,"53,403"
New_Jersey,Cities,Colts Neck Township,3,0,0,0,0,0,0,0,0,2,1,"10,075"
South_Carolina,Cities,Columbia,1,0,1,0,0,0,0,0,1,1,0,"132,240"
Washington,Metropolitan Counties,Columbia,0,0,0,2,0,0,0,0,2,,,
Montana,Cities,Columbia Falls,1,0,0,0,0,0,0,0,1,0,0,"4,721"
Minnesota,Cities,Columbia Heights,1,0,0,1,0,0,0,1,1,0,0,"19,715"
Nebraska,Cities,Columbus,0,0,1,0,0,0,0,0,0,1,0,"22,624"
Ohio,Cities,Columbus,88,4,17,15,12,0,0,8,22,60,46,"816,364"
Texas,Cities,Commerce,1,0,0,0,1,0,0,1,1,0,0,"8,267"
Colorado,Cities,Commerce City,0,1,0,0,0,0,0,0,0,1,0,"49,200"
California,Cities,Compton,1,0,1,0,0,0,0,0,1,0,1,"97,907"
California,Cities,Concord,1,0,0,0,0,0,0,0,1,0,0,"125,464"
New_Hampshire,Cities,Concord,2,1,0,0,0,0,0,0,2,1,0,"42,615"
North_Carolina,Cities,Concord,1,0,0,0,0,0,0,0,1,0,0,"82,899"
Connecticut,State Police Agencies,Connecticut State Police,1,1,3,2,0,0,0,2,1,4,0,
New_Hampshire,Cities,Conway,0,0,1,0,0,0,0,1,0,0,0,"10,056"
Georgia,Cities,Conyers,1,0,0,0,0,0,0,0,0,0,1,"15,465"
Illinois,Metropolitan Counties,Cook,0,0,0,1,0,0,0,0,1,0,0,
Kentucky,Cities,Corbin,2,0,0,0,0,0,0,0,0,1,1,"7,257"
California,Cities,Corcoran,1,0,0,0,0,0,0,0,0,1,0,"23,290"
New_York,Universities and Colleges,Cornell University,1,0,1,0,0,0,0,0,1,1,,"21,424"
California,Cities,Corona,0,0,0,1,0,0,0,0,0,0,1,"160,159"
California,Cities,Coronado,0,1,0,0,0,0,0,1,0,0,0,"23,183"
Texas,Cities,Corpus Christi,0,0,1,0,0,0,0,0,0,0,1,"314,523"
South_Dakota,Nonmetropolitan Counties,Corson,1,0,0,0,0,0,0,0,1,0,0,
California,Cities,Costa Mesa,1,0,0,0,0,0,0,0,0,0,1,"112,538"
California,Cities,Covina,0,2,1,0,0,0,0,0,3,0,0,"48,524"
Kentucky,Cities,Covington,3,0,3,3,0,0,0,1,4,2,2,"40,766"
Tennessee,Cities,Covington,1,0,0,12,4,0,0,3,1,5,8,"9,076"
Washington,Cities,Covington,0,1,0,0,0,0,0,0,1,0,0,"18,526"
Washington,Metropolitan Counties,Cowlitz,1,0,0,0,0,0,0,0,0,1,0,
Nebraska,Cities,Cozad,0,0,0,1,0,0,0,1,,0,0,"3,929"
New_Jersey,Cities,Cranford Township,0,1,0,0,0,0,0,1,0,0,0,"23,165"
Arkansas,Metropolitan Counties,Crawford,2,0,2,0,0,0,0,0,2,1,1,
New_York,Cities,Crawford Town,3,4,0,0,0,0,0,0,1,0,6,"9,264"
North_Carolina,Cities,Creedmoor,1,0,0,0,0,0,0,0,0,1,0,"4,254"
Minnesota,Cities,Crosby,1,0,0,0,0,0,0,0,1,0,0,"2,369"
New_York,Cities,Croton-on-Hudson Village,0,0,0,0,0,1,0,0,1,0,0,"8,180"
Illinois,Cities,Crystal Lake,0,1,0,0,0,0,0,0,0,1,0,"40,383"
Illinois,Nonmetropolitan Counties,Cumberland,0,0,1,0,0,0,0,0,1,0,0,
Virginia,Nonmetropolitan Counties,Cumberland,1,0,0,0,0,0,0,0,0,0,1,
California,Cities,Cupertino,0,0,0,0,0,0,1,0,0,0,1,"60,440"
Kentucky,Cities,Cynthiana,1,0,0,0,0,0,0,0,1,0,0,"6,305"
California,Cities,Cypress,0,0,0,1,0,0,0,0,0,1,0,"49,067"
Texas,Cities,Dallas,3,2,9,4,0,0,0,2,4,9,3,"1,255,015"
California,Cities,Daly City,0,2,1,0,0,0,0,1,0,1,1,"104,536"
California,Cities,Dana Point,0,1,0,0,0,0,0,0,1,0,0,"34,262"
Connecticut,Cities,Danbury,0,1,1,1,0,0,0,,2,,1,"83,363"
Wisconsin,Metropolitan Counties,Dane,1,0,0,0,0,0,0,1,0,0,0,
Massachusetts,Cities,Danvers,0,1,0,0,0,0,0,1,0,0,0,"27,263"
Kentucky,Cities,Danville,0,0,1,0,0,0,0,0,1,0,0,"16,388"
Virginia,Cities,Danville,0,0,1,0,0,0,0,1,0,0,0,"43,133"
Kentucky,Metropolitan Counties,Daviess,0,0,1,0,0,0,0,0,0,1,0,
California,Cities,Davis,2,1,4,1,0,0,0,3,4,0,1,"66,126"
Nebraska,Nonmetropolitan Counties,Dawson,3,0,0,0,0,0,0,0,0,1,2,
Ohio,Cities,Dayton,5,0,2,1,0,0,0,2,3,1,2,"141,167"
Illinois,Cities,De Kalb,1,0,0,0,0,0,0,0,0,1,0,"43,765"
Missouri,Metropolitan Counties,De Kalb,1,0,0,0,0,0,0,0,0,1,0,
Massachusetts,Universities and Colleges,Dean College,0,1,0,0,0,0,0,0,0,0,1,"1,322"
Michigan,Cities,Dearborn,7,2,2,3,0,0,0,7,4,2,1,"96,012"
Ohio,Metropolitan Counties,Delaware,1,0,0,1,0,0,0,0,0,2,0,
Delaware,Universities and Colleges,Delaware State University,1,0,0,0,0,0,0,0,1,0,0,"4,324"
New_Jersey,Cities,Delran Township,2,0,0,0,0,0,0,0,1,0,1,"16,862"
Florida,Cities,Delray Beach,1,0,0,0,0,0,0,0,1,0,0,"62,887"
Texas,Cities,Denison,1,0,0,0,1,0,0,0,1,1,0,"22,652"
Texas,Cities,Denton,1,0,0,0,0,0,0,0,1,0,0,"123,260"
Colorado,Cities,Denver,9,5,15,1,0,0,0,3,13,9,5,"648,981"
California,Other Agencies,"Department of Parks and Recreation, Tehachapi District",1,0,0,0,0,0,0,0,0,1,0,
Tennessee,State Police Agencies,Department of Safety,0,0,0,1,0,0,0,1,0,0,0,
Connecticut,Cities,Derby,1,0,0,0,0,0,0,0,0,0,1,"12,806"
Washington,Cities,Des Moines,4,1,0,0,0,0,0,0,1,2,2,"30,684"
Oregon,Metropolitan Counties,Deschutes,1,0,0,0,0,0,0,0,1,0,0,
Michigan,Cities,Detroit,2,0,1,0,0,0,0,0,0,1,2,"699,889"
North_Dakota,Cities,Devils Lake,0,0,1,0,0,0,0,0,0,0,1,"7,260"
North_Dakota,Cities,Dickinson,0,1,0,0,0,0,0,0,0,1,0,"20,347"
Colorado,Cities,Dillon,0,0,0,1,0,0,0,0,1,0,0,906
South_Carolina,Cities,Dillon,0,1,0,0,0,0,0,0,1,0,0,"6,627"
Illinois,Cities,Dixon,0,0,1,0,0,0,0,0,0,0,1,"15,304"
Kansas,Cities,Dodge City,1,0,0,0,0,0,0,0,0,1,0,"28,265"
Illinois,Nonmetropolitan Counties,Douglas,1,0,0,0,0,0,0,0,0,1,0,
Kansas,Metropolitan Counties,Douglas,0,0,1,1,0,0,0,0,2,0,0,
Massachusetts,Cities,Douglas,0,0,1,0,0,0,0,0,1,0,0,"8,628"
Oregon,Nonmetropolitan Counties,Douglas,1,0,0,0,0,0,0,1,0,0,0,
Delaware,Cities,Dover,0,0,1,0,0,0,0,0,0,1,0,"37,402"
Massachusetts,Cities,Dover,0,0,1,0,0,0,0,0,0,1,0,"5,778"
Massachusetts,Cities,Dracut,4,1,0,0,0,0,0,0,1,2,2,"30,533"
Utah,Cities,Draper,0,1,0,0,0,0,0,0,0,1,0,"44,680"
California,Cities,Duarte,1,0,1,0,0,0,0,1,0,1,0,"21,759"
Minnesota,Cities,Duluth,1,0,0,0,0,0,0,1,0,0,0,"86,211"
West_Virginia,Cities,Dunbar,0,0,1,0,0,0,0,0,0,0,1,"7,834"
North_Dakota,Nonmetropolitan Counties,Dunn,1,0,0,0,0,0,0,0,0,1,0,
Colorado,Cities,Durango,0,0,2,0,0,0,0,1,0,1,0,"17,303"
North_Carolina,Cities,Durham,2,1,3,1,0,0,0,3,0,4,0,"242,865"
Tennessee,Cities,Dyersburg,1,0,0,0,0,0,0,0,0,1,0,"17,013"
Minnesota,Cities,Eagan,0,2,0,0,0,0,0,0,1,1,0,"65,052"
Arizona,Cities,Eagar,0,0,0,1,0,0,0,0,1,0,0,"5,034"
New_Jersey,Cities,East Brunswick Township,1,10,2,1,0,0,0,3,4,3,4,"48,073"
North_Carolina,Universities and Colleges,East Carolina University,1,0,0,0,0,0,0,0,1,0,0,"26,947"
Michigan,Cities,East Grand Rapids,1,0,0,0,0,0,0,0,1,0,0,"11,100"
Connecticut,Cities,East Hampton,0,2,0,0,0,0,0,0,1,0,1,"12,934"
New_Jersey,Cities,East Hanover Township,0,1,0,0,0,0,0,0,0,0,1,"11,350"
Connecticut,Cities,East Hartford,0,0,1,0,0,0,0,0,1,0,0,"51,275"
Ohio,Cities,East Liverpool,1,1,0,0,0,0,0,2,0,,,"11,010"
Massachusetts,Cities,East Longmeadow,2,0,3,0,0,0,0,0,3,0,2,"15,946"
New_Jersey,Cities,East Orange,0,1,0,0,0,0,0,0,0,0,1,"64,425"
Ohio,Cities,East Palestine,1,0,0,0,0,0,0,0,0,1,0,"4,631"
Connecticut,Cities,East Windsor,1,0,0,0,0,0,0,0,0,1,0,"11,455"
New_Jersey,Cities,East Windsor Township,0,1,0,0,0,0,0,0,0,1,0,"27,564"
New_Jersey,Cities,Eastampton Township,0,0,0,1,0,0,0,1,0,0,0,"6,103"
Michigan,Universities and Colleges,Eastern Michigan University,1,0,0,0,0,0,0,0,0,0,1,"23,518"
Washington,Universities and Colleges,Eastern Washington University,1,0,0,0,0,0,0,1,0,0,0,"12,587"
Michigan,Cities,Eastpointe,1,0,0,1,0,0,0,0,0,2,0,"32,402"
Michigan,Metropolitan Counties,Eaton,0,1,0,0,0,0,0,0,0,0,1,
Ohio,Cities,Eaton,0,0,1,0,0,0,0,0,0,0,1,"8,307"
Minnesota,Cities,Eden Prairie,1,0,0,0,0,0,0,0,0,0,1,"62,714"
Massachusetts,Cities,Edgartown,1,0,0,0,0,0,0,1,0,0,0,"4,252"
New_Jersey,Cities,Egg Harbor Township,2,0,0,1,0,0,0,0,2,0,1,"43,709"
California,Cities,El Cajon,1,0,0,1,0,0,0,0,1,0,1,"102,012"
California,Cities,El Cerrito,0,2,1,4,0,0,0,3,1,2,1,"24,184"
California,Metropolitan Counties,El Dorado,0,0,1,1,0,0,0,1,0,0,1,
Arizona,Cities,El Mirage,1,0,0,0,0,0,0,0,0,1,0,"32,837"
California,Cities,El Monte,5,0,0,0,0,0,0,0,3,0,2,"115,591"
Colorado,Metropolitan Counties,El Paso,2,0,0,0,0,0,0,0,0,1,1,
Texas,Cities,El Paso,0,0,3,0,0,0,0,2,1,0,0,"679,700"
Tennessee,Cities,Elizabethton,0,0,1,0,0,0,0,0,0,1,0,"14,220"
Kentucky,Cities,Elizabethtown,2,0,0,0,0,0,0,0,0,0,2,"29,470"
Oklahoma,Cities,Elk City,1,0,0,0,0,0,0,1,0,0,0,"12,463"
California,Cities,Elk Grove,1,0,0,0,0,0,0,0,0,0,1,"160,925"
Michigan,Cities,Elk Rapids,1,0,0,0,0,0,0,0,1,0,0,"1,629"
Minnesota,Cities,Elk River,1,0,0,0,0,0,0,0,0,0,1,"23,351"
Indiana,Metropolitan Counties,Elkhart,2,1,0,0,1,0,0,0,,3,1,
Kentucky,Cities,Elkton,1,0,0,0,0,0,0,0,1,0,0,"2,211"
Kansas,Nonmetropolitan Counties,Ellis,0,0,1,0,0,0,0,0,1,0,0,
Maine,Cities,Ellsworth,1,0,0,0,0,0,0,0,1,0,0,"7,853"
New_Jersey,Cities,Elmwood Park,1,0,0,0,1,0,0,1,1,0,0,"20,077"
Kentucky,Cities,Elsmere,1,0,0,0,0,0,0,1,0,0,0,"8,478"
Massachusetts,Universities and Colleges,Emerson College,1,0,0,0,0,0,0,0,0,0,1,"4,531"
Utah,Nonmetropolitan Counties,Emery,0,1,0,0,0,0,0,0,1,0,0,
California,Cities,Emeryville,1,0,0,0,0,0,0,0,1,0,0,"10,415"
California,Cities,Encinitas,2,1,0,1,0,0,0,2,1,1,0,"61,433"
Connecticut,Cities,Enfield,1,0,0,0,0,0,0,,1,,,"44,661"
Arkansas,Cities,England,1,0,0,0,0,0,0,0,1,0,0,"2,806"
Colorado,Cities,Englewood,1,0,0,0,1,0,0,0,0,0,2,"31,454"
Ohio,Cities,Englewood,0,0,1,0,0,0,0,0,0,1,0,"13,455"
Colorado,Cities,Erie,0,1,0,0,0,0,0,1,0,0,0,"19,627"
New_York,Metropolitan Counties,Erie,0,0,0,1,0,0,0,0,0,0,1,
Michigan,Cities,Escanaba,1,0,0,0,0,0,0,0,0,0,1,"12,531"
California,Cities,Escondido,4,1,1,2,0,0,0,2,2,3,1,"148,650"
Michigan,Cities,Essexville,0,1,0,0,0,0,0,1,0,0,0,"3,436"
Oregon,Cities,Eugene,6,4,3,2,0,0,0,1,9,1,4,"158,499"
California,Cities,Eureka,1,0,1,0,0,0,0,1,1,0,0,"26,881"
Washington,Cities,Everett,1,1,2,2,0,0,0,2,1,1,2,"105,129"
Texas,Cities,Everman,0,0,1,0,0,0,0,1,,0,0,"6,276"
New_Jersey,Cities,Evesham Township,7,1,0,0,0,0,0,4,3,1,0,"45,798"
New_Jersey,Cities,Ewing Township,1,0,2,0,0,0,0,0,1,0,2,"36,449"
Ohio,Cities,Fairborn,2,0,0,0,0,0,0,1,0,1,0,"32,820"
Oklahoma,Cities,Fairfax,1,0,0,0,0,0,0,1,0,0,0,"1,373"
Virginia,Metropolitan Counties,Fairfax County Police Department,7,5,0,1,0,0,0,3,1,5,4,
California,Cities,Fairfield,2,0,0,1,0,0,0,1,0,0,2,"108,425"
Ohio,Cities,Fairfield,0,1,0,0,0,0,0,0,1,0,0,"42,677"
South_Carolina,Metropolitan Counties,Fairfield,1,0,0,0,0,0,0,0,1,0,0,
Arkansas,Cities,Fairfield Bay,1,0,0,0,0,0,0,0,0,1,0,"2,295"
West_Virginia,Cities,Fairmont,1,1,0,0,0,0,0,0,2,0,0,"18,740"
New_Jersey,Cities,Fairview,0,0,0,1,0,0,0,0,0,1,0,"14,358"
Massachusetts,Cities,Fall River,1,0,0,0,0,0,0,1,0,0,0,"89,220"
New_Jersey,Cities,Fanwood,0,1,0,0,0,0,0,0,0,1,0,"7,447"
North_Dakota,Cities,Fargo,8,2,2,1,1,0,0,2,3,6,3,"111,101"
Minnesota,Cities,Faribault,0,0,1,0,0,0,0,,,1,,"23,405"
Michigan,Cities,Farmington,1,0,0,0,0,0,0,1,0,0,0,"10,514"
New_Hampshire,Cities,Farmington,1,0,0,0,0,0,0,0,0,1,0,"6,799"
Utah,Cities,Farmington,2,0,1,0,0,0,0,0,3,0,0,"21,582"
Virginia,Cities,Farmville,1,0,0,0,0,0,0,0,1,0,0,"8,142"
Arkansas,Metropolitan Counties,Faulkner,1,0,0,1,0,0,0,0,1,0,1,
West_Virginia,Metropolitan Counties,Fayette,1,0,1,0,0,0,0,0,0,1,1,
North_Carolina,Cities,Fayetteville,4,1,0,1,0,0,0,2,1,2,1,"202,524"
Tennessee,Cities,Fayetteville,1,0,0,0,0,0,0,0,0,1,0,"7,155"
Washington,Cities,Federal Way,3,4,4,0,0,0,0,1,3,3,4,"92,741"
Pennsylvania,Cities,Ferguson Township,0,1,0,0,0,0,0,1,0,0,0,"17,807"
Michigan,Cities,Ferndale,0,0,1,0,0,0,0,0,0,1,0,"20,104"
Washington,Cities,Ferndale,1,1,0,0,0,0,0,1,1,0,0,"12,173"
Washington,Cities,Fife,0,0,0,1,0,1,0,0,1,1,0,"9,380"
Ohio,Cities,Findlay,1,0,1,0,0,0,0,0,1,0,1,"41,660"
Florida,Metropolitan Counties,Flagler,2,0,0,0,0,0,0,2,0,0,0,
Kentucky,Cities,Flatwoods,1,0,0,0,0,0,0,0,0,1,0,"7,412"
Michigan,Cities,Flint Township,2,0,0,0,0,0,0,0,1,1,0,"31,182"
Alabama,Cities,Florence,2,0,0,0,0,0,0,0,1,0,1,"39,481"
Kentucky,Cities,Florence,1,0,0,0,2,0,0,1,1,1,0,"31,434"
Michigan,Cities,Flushing,0,0,1,0,0,0,0,0,0,1,0,"8,204"
Virginia,Metropolitan Counties,Fluvanna,1,0,0,1,0,0,0,0,0,1,1,
Wisconsin,Cities,Fond du Lac,1,0,0,1,0,0,0,0,1,0,1,"43,042"
California,Cities,Fontana,1,0,0,0,0,0,0,0,1,0,0,"203,427"
California,Other Agencies,Fontana Unified School District,1,0,0,0,0,0,0,0,0,0,1,
South_Carolina,Cities,Forest Acres,1,0,0,0,0,0,0,0,1,0,0,"10,516"
Michigan,Cities,Forsyth Township,1,0,0,0,0,0,0,0,1,0,0,"6,278"
New_Jersey,Cities,Fort Lee,2,0,1,0,0,0,0,2,1,0,0,"35,900"
Arkansas,Cities,Fort Smith,1,0,1,0,0,0,0,0,0,0,2,"87,821"
Indiana,Cities,Fort Wayne,1,0,0,0,0,0,0,0,1,0,0,"254,820"
Texas,Cities,Fort Worth,9,0,2,5,0,0,0,5,1,6,4,"789,035"
California,Cities,Foster City,1,0,0,0,0,0,0,1,0,0,0,"32,652"
Colorado,Cities,Fountain,2,0,1,0,0,0,0,2,1,0,0,"27,163"
Massachusetts,Cities,Framingham,2,0,0,0,0,0,0,0,0,2,0,"70,753"
Kentucky,Cities,Frankfort,1,0,1,1,0,0,0,1,1,0,1,"27,680"
Indiana,Cities,Franklin,1,0,0,0,0,0,0,0,0,0,1,"24,034"
Michigan,Cities,Franklin,2,0,0,0,0,0,0,0,1,1,0,"3,194"
Ohio,Metropolitan Counties,Franklin,0,0,0,2,0,0,0,1,0,1,0,
Tennessee,Cities,Franklin,1,0,0,0,0,0,0,0,0,1,0,"67,465"
New_Jersey,Cities,Franklin Lakes,0,1,0,1,0,0,0,1,1,0,0,"10,746"
New_Jersey,Cities,"Franklin Township, Gloucester County",0,1,0,0,0,0,0,0,0,1,0,"16,740"
Michigan,Cities,Fraser,2,0,0,0,0,0,0,0,1,1,0,"14,529"
Maryland,Cities,Frederick,2,0,0,0,0,0,0,0,0,1,1,"66,709"
Maryland,Metropolitan Counties,Frederick,3,2,0,0,0,0,0,3,0,2,0,
New_Jersey,Cities,Freehold Township,0,1,0,0,0,0,0,1,0,0,0,"36,048"
New_York,Cities,Freeport Village,0,0,0,1,0,0,0,1,0,0,0,"43,214"
California,Cities,Fresno,4,0,3,2,0,0,1,3,3,1,3,"508,876"
Texas,Cities,Frisco,1,1,0,0,0,0,0,0,2,0,0,"131,769"
Michigan,Cities,Fruitport,1,0,0,0,0,0,0,0,0,0,1,"1,090"
California,Cities,Fullerton,0,1,1,0,0,0,0,1,0,0,1,"139,676"
Ohio,Metropolitan Counties,Fulton,0,0,0,1,0,0,0,0,1,0,0,
Ohio,Cities,Gahanna,0,0,2,0,0,0,0,0,0,0,2,"34,011"
Florida,Cities,Gainesville,2,0,1,0,0,0,0,0,0,0,3,"126,589"
Texas,Cities,Gainesville,1,0,0,0,0,0,0,0,0,1,0,"16,089"
Virginia,Cities,Galax,0,0,0,1,0,0,0,0,0,0,1,"6,870"
New_Jersey,Cities,Galloway Township,0,0,1,0,0,0,0,0,1,0,0,"37,304"
California,Cities,Galt,1,0,0,0,0,0,0,0,0,1,0,"24,553"
Michigan,Cities,Garden City,1,0,0,0,0,0,0,1,0,0,0,"27,110"
California,Cities,Garden Grove,1,0,0,3,0,0,0,0,1,2,1,"175,469"
Kansas,Cities,Gardner,0,1,0,0,0,0,0,0,1,0,0,"20,708"
Colorado,Nonmetropolitan Counties,Garfield,1,1,0,0,0,0,0,0,1,0,1,
Texas,Cities,Garland,1,0,1,0,0,0,0,1,0,1,0,"235,683"
Maryland,Nonmetropolitan Counties,Garrett,1,0,0,0,0,0,0,0,0,0,1,
North_Carolina,Cities,Gastonia,0,1,0,0,0,0,0,0,1,0,0,"73,049"
Tennessee,Cities,Gatlinburg,0,0,0,1,0,0,0,1,0,0,0,"4,074"
Ohio,Metropolitan Counties,Geauga,1,0,0,0,0,0,0,0,1,0,0,
Virginia,Universities and Colleges,George Mason University,0,3,0,0,0,0,0,1,0,2,0,"32,961"
Kentucky,Cities,Georgetown,2,0,0,0,0,0,0,0,0,2,0,"30,611"
South_Carolina,Cities,Georgetown,1,0,0,0,0,0,0,0,0,1,0,"9,072"
South_Carolina,Nonmetropolitan Counties,Georgetown,1,0,0,0,0,0,0,0,0,0,1,
Michigan,Other Agencies,Gerald R. Ford International Airport,1,0,0,0,0,0,0,0,0,0,1,
Michigan,Cities,Gerrish Township,1,0,0,0,0,0,0,0,1,0,0,"2,942"
Arizona,Cities,Gilbert,1,0,0,0,0,0,0,1,0,0,0,"225,232"
Wyoming,Cities,Gillette,0,0,0,1,0,0,0,0,0,1,0,"31,884"
California,Cities,Gilroy,0,0,2,0,0,0,0,0,1,1,0,"51,240"
Ohio,Cities,Girard,1,0,0,0,0,0,0,0,0,1,0,"9,771"
New_Jersey,Cities,Glassboro,8,0,2,2,0,0,0,3,2,3,4,"19,038"
Connecticut,Cities,Glastonbury,1,0,0,0,0,0,0,1,0,0,0,"34,782"
New_Jersey,Cities,Glen Ridge,0,1,0,0,0,0,0,0,1,0,0,"7,626"
Arizona,Cities,Glendale,2,3,1,1,0,0,0,2,0,3,2,"234,006"
California,Cities,Glendale,1,0,0,0,0,0,0,0,0,1,0,"195,366"
Colorado,Cities,Glendale,0,1,0,0,0,0,0,1,0,0,0,"4,502"
California,Cities,Glendora,1,0,0,0,0,0,0,1,0,0,0,"50,893"
Colorado,Cities,Glenwood Springs,0,0,1,0,0,0,0,0,0,1,0,"9,715"
Virginia,Metropolitan Counties,Gloucester,1,1,0,0,0,0,0,0,0,0,2,
New_Jersey,Cities,Gloucester Township,2,0,0,0,0,0,0,0,2,0,0,"64,440"
Colorado,Cities,Golden,0,0,0,1,0,0,0,0,0,0,1,"19,334"
North_Dakota,Nonmetropolitan Counties,Golden Valley,0,0,0,1,0,0,0,0,0,1,0,
Texas,Metropolitan Counties,Goliad,1,0,0,0,0,0,0,0,0,1,0,
Arizona,Cities,Goodyear,0,0,2,0,0,0,0,1,,1,0,"71,048"
South_Carolina,Cities,Goose Creek,1,0,0,0,0,0,0,0,0,1,0,"39,425"
Indiana,Cities,Goshen,0,0,1,0,0,0,0,1,,0,0,"32,195"
Oklahoma,Metropolitan Counties,Grady,0,1,0,0,0,0,0,0,0,0,1,
Michigan,Cities,Grand Blanc Township,2,0,0,0,0,0,0,1,0,0,1,"36,793"
North_Dakota,Metropolitan Counties,Grand Forks,2,0,0,0,0,0,0,0,1,0,1,
Nebraska,Cities,Grand Island,0,0,0,2,0,0,0,0,0,2,0,"50,441"
Colorado,Cities,Grand Junction,4,0,1,0,0,0,0,1,1,2,1,"60,167"
Michigan,Cities,Grand Rapids,2,0,1,0,0,0,0,1,2,0,0,"191,213"
Missouri,Cities,Grandview,1,0,0,0,0,0,0,0,0,1,,"24,630"
Michigan,Cities,Grandville,1,0,1,1,1,0,0,2,0,2,0,"15,669"
Washington,Cities,Granite Falls,1,0,0,0,0,0,0,1,0,0,,"3,435"
North_Dakota,Nonmetropolitan Counties,Grant,1,0,0,0,0,0,0,0,0,0,1,
Washington,Nonmetropolitan Counties,Grant,1,0,0,0,0,0,0,0,0,1,0,
Wisconsin,Nonmetropolitan Counties,Grant,1,0,0,0,0,0,0,0,1,0,0,
Utah,Cities,Grantsville,1,0,0,0,0,0,0,0,0,1,0,"9,530"
Texas,Cities,Grapevine,1,0,0,0,0,0,0,0,0,1,0,"49,075"
Michigan,Cities,Grayling,1,0,0,0,0,0,0,0,0,0,1,"1,872"
Tennessee,Cities,Graysville,2,0,0,0,0,0,0,0,1,1,0,"1,512"
Montana,Cities,Great Falls,1,0,0,0,0,0,0,0,0,0,1,"58,940"
New_York,Cities,Greece Town,3,0,0,0,0,0,0,0,1,2,0,"96,667"
Colorado,Cities,Greeley,0,0,1,0,0,0,0,0,0,0,1,"96,111"
Wisconsin,Cities,Green Bay,1,0,1,0,0,0,0,1,0,1,0,"105,107"
New_Jersey,Cities,Green Brook Township,0,2,0,0,0,0,0,1,1,0,0,"7,240"
Maryland,Cities,Greenbelt,0,0,1,0,0,0,0,0,1,0,0,"23,680"
Arkansas,Nonmetropolitan Counties,Greene,1,0,0,0,0,0,0,0,0,1,0,
Ohio,Metropolitan Counties,Greene,2,0,1,0,0,0,0,1,2,0,0,
Tennessee,Cities,Greeneville,0,0,1,0,0,0,0,0,1,0,0,"15,015"
Massachusetts,Cities,Greenfield,0,0,1,0,0,0,0,0,1,0,0,"17,598"
Ohio,Cities,Greenhills,1,0,0,0,1,0,0,2,0,0,0,"3,591"
North_Carolina,Cities,Greensboro,3,0,0,0,0,0,0,0,1,0,2,"279,343"
North_Carolina,Cities,Greenville,1,0,0,0,0,0,0,0,1,0,0,"88,018"
South_Carolina,Cities,Greenville,1,0,0,0,0,0,0,0,0,0,1,"61,185"
New_Jersey,Cities,"Greenwich Township, Warren County",1,0,0,0,0,0,0,0,0,0,1,"5,582"
Kansas,Nonmetropolitan Counties,Greenwood,1,0,0,0,0,0,0,0,1,0,0,
Colorado,Cities,Greenwood Village,1,0,0,0,0,0,0,0,1,0,0,"14,614"
California,Cities,Gridley,0,0,0,1,0,0,0,1,0,0,0,"6,563"
Iowa,Cities,Grinnell,0,0,1,0,0,0,0,0,0,0,1,"9,090"
Michigan,Cities,Grosse Pointe Park,1,0,0,0,0,0,0,0,0,1,0,"11,287"
Michigan,Cities,Grosse Pointe Woods,0,0,0,1,0,0,0,0,1,0,0,"15,760"
Connecticut,Cities,Groton,1,1,0,0,0,0,0,0,1,1,0,"9,359"
Connecticut,Cities,Groton Town,1,0,0,0,1,0,0,0,1,1,0,"29,946"
Ohio,Cities,Grove City,3,0,0,1,0,0,0,1,2,1,0,"37,208"
Connecticut,Cities,Guilford,0,1,0,0,0,0,0,,,1,,"22,409"
North_Carolina,Metropolitan Counties,Guilford,0,0,1,0,0,0,0,0,1,0,0,
Mississippi,Cities,Gulfport,1,0,0,2,0,0,0,2,1,0,0,"70,863"
Arkansas,Cities,Gurdon,1,0,0,0,0,0,0,1,0,0,0,"2,184"
New_Jersey,Cities,Haddon Township,0,0,0,1,0,0,0,0,0,1,0,"14,732"
New_Jersey,Cities,Haddonfield,0,1,0,0,0,0,0,0,0,0,1,"11,590"
Idaho,Cities,Hailey,0,0,0,1,0,0,0,0,0,1,0,"7,915"
Florida,Cities,Hallandale,2,0,1,0,0,0,0,0,1,0,2,"38,710"
New_York,Cities,Hamburg Town,1,0,0,0,0,0,0,1,0,0,0,"45,535"
Connecticut,Cities,Hamden,0,1,0,0,0,0,0,0,1,0,0,"60,829"
Montana,Cities,Hamilton,0,1,0,0,0,0,0,0,0,0,1,"4,555"
Ohio,Cities,Hamilton,0,0,1,0,0,0,0,0,1,0,,"62,268"
New_Hampshire,Cities,Hampton,1,0,0,0,0,0,0,0,0,1,0,"15,067"
South_Carolina,Nonmetropolitan Counties,Hampton,1,0,0,0,0,0,0,0,0,0,1,
Virginia,Cities,Hampton,1,0,1,0,0,0,0,1,0,1,0,"136,949"
New_Hampshire,Cities,Hampton Falls,0,0,0,1,0,0,0,0,1,0,0,"2,294"
Michigan,Cities,Hamtramck,1,0,1,0,0,0,0,0,0,1,1,"22,017"
Ohio,Nonmetropolitan Counties,Hancock,0,0,0,1,0,0,0,0,1,0,0,
West_Virginia,Metropolitan Counties,Hancock,2,0,0,0,0,0,0,0,0,1,1,
